nombre;categoria;rvc;epochs;language;enlace;nombre2;rvc2;epochs2;language2;enlace2;nombre3;rvc3;epochs3;language3;enlace3;nombre4;rvc4;epochs4;language4;enlace4;nombre5;rvc5;epochs5;language5;enlace5;nombre6;rvc6;epochs6;language6;enlace6;nombre7;rvc7;epochs7;language7;enlace7;nombre8;rvc8;epochs8;language8;enlace8;nombre9;rvc9;epochs9;language9;enlace9;nombre10;rvc10;epochs10;language10;enlace10
Boruto Uzumaki ;Naruto;RVC2, RVMPE;300;;https://huggingface.co/ValtLegend/Boruto/resolve/main/Boruto.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brad Pitt;Actor;RVMPE;300;;https://huggingface.co/casuallycrayzed/BradPitt/blob/main/BradPitt.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brian Griffin;;RVC2;210;;https://youtube.com/watch?v=fQM0tSmPhBc;Brian Griffin ;RVC2, OV2;100;Italian;https://huggingface.co/FanFierik/Brian/resolve/main/Brian.zip?download=true;Brian Griffin ;RVC2;220;;https://huggingface.co/Biotin/BrianGriffin/resolve/main/BrianGriffin.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Briar ;League of legends;RVMPE;200;;https://huggingface.co/Sztef/Teemo_Omega_Squad1/resolve/main/BriarBySztef.zip;Briar;RVC2;500;;https://huggingface.co/BoundlessFate/MyModels/resolve/main/BriarAI.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Broly ;Dragon Ball;RVCV2, OV2;300;Italian;https://huggingface.co/Loren85/Broly.DBZ-ITA-Bombardieri/resolve/main/Broly%20DBZ%20ITA%20Bombardieri.zip?download=true;Broly ;RVC2;300;;https://huggingface.co/SyberGen/DragonBallVModels/resolve/main/Broly.zip;Broly;RVC2;750;;https://huggingface.co/SyberGen/DragonBallVModels/resolve/main/BrolyDBSCalm.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brook ;One Piece;RVC2;300;Japanese;https://huggingface.co/Abobs/bakugou/resolve/main/brook.zip;Brook;RVC2;250;;https://huggingface.co/RevolutionaryPie/BrookRVC/resolve/main/Brook.zip;Brook ;RVC2;500;Latino;https://huggingface.co/Xavier2213/Brook/resolve/main/Brook.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bruce Wayne (Harley Quinn Show) ;;RVC2;146;;https://huggingface.co/Prestiggy/BruceWayne-HQShow/resolve/main/BruceWayne.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bryant Myers;Singer;RVC2;350;;https://huggingface.co/Dragonite/BryantMyers/resolve/main/BryantMyers(ByDragonite).zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bubsy the Bobcat (Bubsy: The Woolies Strikes Back);;RVC2;200;;https://huggingface.co/PokeBrother/BubsyBobcatTWSB/resolve/main/Bubsy-Bobcat.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buddy (Kick The Buddy - Ray Chase) ;;RVC2;750;;https://huggingface.co/StickGuyWasTaken/KickTheBuddy/resolve/main/KickTheBuddy.zip;Buddy;RMVPE;300;;https://huggingface.co/GDJay/JayModels/resolve/main/BuddyKTB.zip;Buddy;RVC2;100;;https://huggingface.co/lazed-outt-for-real24/KickTheBuddy/resolve/main/KickTheBuddy.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Buggy ;One Piece;RVC2;250;;https://huggingface.co/Coleereer/EGadd/resolve/main/4kidsBuggy.zip;Buggy;RVC2;250;;https://huggingface.co/RevolutionaryPie/BuggyRVC/resolve/main/Buggy.zip;Buggy ;RVC2;376;English;https://huggingface.co/cheezebone/SpongyCakeRVC/resolve/main/Buggy(ENG-Funi)_376e.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Burger King Guy (Burger King Ads) (300 epochs);;;300;;https://huggingface.co/Homiebear/BurberKingGuy/resolve/main/BurgerKingGuy.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C-3PO;Star Wars;RVC2;400;;https://huggingface.co/ZengerFake/C3PO/resolve/main/C3PO_RVC.rar;C-3PO ;RMVPE2;580;;https://huggingface.co/DJManelo/DJ_ManeloRVC/resolve/main/C-3PO.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cactus ;Plants Vs Zombies;;;;https://huggingface.co/C0ttontheBunny/GardenWarfareModels/resolve/main/Cactuspvz.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caesar Clown;One Piece;RVC2;205;;https://huggingface.co/Skeetawn/OnePiece-CaesarClown/resolve/main/OnePiece-CaesarClown.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caitlyn;League Of Legends;RVC2;500;English;https://huggingface.co/leomc1323/CaitlynENG/resolve/main/CaitlynEng.zip;Caitlyn;RVC2;500;Spanish;https://huggingface.co/leomc1323/CaitlynESP/resolve/main/CaitlynESP.zip;Caitlyn;RVC2;350;;https://huggingface.co/leomc1323/Caitlyn-Arcane/blob/main/CaitArcane.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calamardo [Latino];Bob Esponja;RVC2;300;Spanish;https://huggingface.co/Kelpek/CalamardoLatino/resolve/main/CalamardoLatino.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Camila Cabello;Singer;RVC2;600;;https://mega.nz/file/7w1UhATb#NYTXsHEGsp4YO_rWtDpqRWvOxh1U4dqMC6y6wL7d_So;Camila Cabello;RVC2;350;;https://huggingface.co/leeloli/Camila-Cabello/blob/main/CamilaCabello.zip;Camila Cabello;RVC2;700;;https://huggingface.co/leeloli/camila-by-leelo/resolve/main/camila.zip;Camila Cabello;RVC2;500;;https://huggingface.co/AIVER-SE/CamilaCabelloV2/resolve/main/CamilaCabellov2.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canserbero ;Singer;RVC2;480;;https://huggingface.co/Frixi/Canserbero_RVC_V2_480Epochs/blob/main/Canserbero_V2.zip;Canserbero ;RVC2, RVMPE;300;;https://huggingface.co/Bruh110/CanserberoTalking/resolve/main/CanserberoTalking.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cap'n Cuttlefish;Splatoon;RVC2;200;;https://huggingface.co/WoomyPearl/RVC-Model-Palace/resolve/main/CapnCuttlefish.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capone Bege;One Piece;RVC2;205;;https://huggingface.co/Skeetawn/OnePiece-CaponeBege/resolve/main/OnePiece-CaponeBege.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capricorn Stu;Brawl Stars;RVC2, RMVPE, Ov2;450;Chinese;https://huggingface.co/FurnTheFurnace/RVCModels/resolve/main/CapricornStu.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Captain Barnacles;Octonauts;;300;;https://huggingface.co/Blocktoast64/Blocktoasts-RVC-Models/blob/main/Captain%20Barnacles.zip;Captain Barnacles;;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Captain Churchill;Bloons TD;;300;;https://huggingface.co/Blocktoast64/Blocktoasts-RVC-Models/blob/main/Captain%20Churchill.zip;Captain Churchill;RVC2;250;;https://huggingface.co/Camthekirby/My-Funky-Models/resolve/main/Captain-Churchills.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Captain Crocodile;Robin Hood;RVC2;300;;https://huggingface.co/frankmurray/candycandido/resolve/main/candycandi.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Captain Deadbeard (Plants Vs. Zombies Garden Warfare 2) 150 Epochs;;;150;;https://huggingface.co/C0ttontheBunny/GardenWarfareModels/resolve/main/Captain%20Deadbeard.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Captain Falcon;F-Zero;RVC2;200;;https://huggingface.co/WoomyPearl/RVC-Model-Palace/resolve/main/CaptainFalconSSB.zip;Captain Falcon;RVC2;500;;https://huggingface.co/Player1444/AI.models/resolve/main/%D0%A1aptain%20Falcon.zip;Captain Falcon;RVC2;420;;https://huggingface.co/thedoodooman/myverycoolaimodels/resolve/main/CaptainFalconSSBU.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Captain Jack Sparrow;Kingdom Hearts;RVMPE;250;;https://huggingface.co/Homiebear/CaptainJackSparrow/resolve/main/JackSparrow.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Captain K'nuckles;The Marvellous Misadventures of Flapjack;;;;https://huggingface.co/GuilStuffs/CaptainKnuckles/blob/main/CaptainKnuckles.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Captain Olimar;Pikmin 3;RVC2;750;;https://huggingface.co/StickGuyWasTaken/Olimar/resolve/main/Olimar.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Captain Salazar;Pirates Of the Caribbean;RVC2;250;;https://huggingface.co/frankmurray/CaptainSalarzar/resolve/main/captainsalarzar1.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carl;Brawl Stars;RVC2, RMVPE;150;;https://huggingface.co/Nick088/Carl_Brawl_Stars/resolve/main/Carl_Brawl_Stars.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carl Carlson;The Simpsons;RVC2;700;;https://huggingface.co/Hazza1/Carl/resolve/main/carl.zip;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carl Casagrande;The Loud House;RVC2;250;;https://huggingface.co/iamalexcaspian/CarlCasagrande/resolve/main/CarlCasagrandeTLH-CG.zip?download=true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carl Johnson (CJ);GTA;OV2;750;;https://huggingface.co/Rejekts/CarlJohnson-RVC/resolve/main/CarlJohnson.zip;Carl Johnson (CJ);RVC2;400;;https://huggingface.co/AlluXD/Carl-Johnson/resolve/main/Carl-Johnson.zip;Carl Johnson (CJ) ;RVC2, RMVPE;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carl Sagan;;RCV;300;;https://huggingface.co/Mf1ve/Berlina/resolve/main/Sagan.zip;Carl Sagan ;RVC2;140;;https://huggingface.co/RoyalAce/carl_sagan_rvc_v2_48k_140_epoch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
